abk	Abkhaz
atj	Achehnese
jiv	Achuar Chicham
acu	Achuar-Shiwiar
aja	Adja
gax	Afaan Oromo (Oromiffa)
afk	Afrikaans
agr	Aguaruna
ccc	A'ingae
tws1	Akuapem Twi
aln	Albanian
alt	Altay
amc	Amahuaca
amr	Amarakaeri 
amh	Amharic
ame	Amuesha-Yanesha
arl	Arabela
arz	Arabic (Alarabia)
arm	Armenian
ass	Asante 
cni	Ashàninca
cpu	Ashéninca
asm	Assamese
aii	Assyrian (Atoraya)
aub	Asturian (Bable)
kwi	Awapit
aym	Aymara
azb1	Azeri/Azerbaijani (Cyrillic)
azb	Azeri/Azerbaijani (Latin)
inz	Bahasa Indonesia
mli	Bahasa Melayu (Malay)
1121	Bai Coca
bvi	Balanda Viri
bzc	Balinese
bgp	Balochi
bra	Bambara
bci	Baoulé/Baule
bfa	Bari
bsq	Basque (Euskara)
bba	Batonu (Bariba)
ruw	Belorus (Belaruski)
bem	Bemba
bng	Bengali
btb	Béti
bhj	Bhojpuri
bcy	Bichelamar
bkl	Bikol/Bicolano
boa	Bora
src4	Bosnian (Cyrillic script)
src1	Bosnian (Latin script)
brt	Breton
bpr	Bugisnese
blg	Bulgarian (Balgarski)
bms	Burmese/Myanmar
cak1	Cakchiquel
cpp	Campa pajonalino
cbu	Candoshi-Shapra
cot	Caquinte
cbr	Cashibo-Cacataibo
cbs	Cashinahua
cln	Catalan (Català)
ceb	Cebuano
1122	Chaa'pala
cjd	Chamorro
tso	Changane (Mozambique)
cbt	Chayahuita
nyj1	Chechewa (Nyanja)
cic	Chickasaw
csa	Chinanteco
chj	Chinanteco, Ajitlán
chn	Chinese (Mandarin)
fal	Chin Falam
hak	Chin Hakha
tid	Chin Tiddim
tru1	Chuuk (Trukese)
cjk	Cokwe
coi	Corsican
kea	Crioulo (Cabo Verde)
gbc	Crioulo da Guiné-Bissau (Guinea Bissau Creole)
src2	Croatian
wls	Cymraeg (Welsh)
czc	Czech (Cesky)
dga	Dagaare
dag	Dagbani
gac1	Dangme
dns	Danish (Dansk)
prs1	Dari
den	Dendi
ger	Deutsch (German)
div	Dhivehi (Maldivian)
nav	Dine, Navajo (Navaho)
dinka	Dinka
dyo	Diola (Jola-Fogny)
tbz	Ditammari
dut	Dutch (Nederlands)
dzo	Dzongkha/Bhutanese 
edo	Edo
ibb	Efik (Ibibio)
grk	Ellinika' (Greek)
eng	English
spn	Español (Spanish)
1115	Esperanto
est	Estonian (Eesti)
eve	Even
evn	Evenki
ewe	Ewe/Eve
tws3	Fante
fae	Faroese
prs	Farsi/Persian
fji	Fijian
tgl	Filipino (Tagalog)
fin	Finnish
kng	Fiote (Angola)
foa	Fon
1128	Forro
frn	French (Français)
fri	Frisian
frl	Friulian (Friulano)
gac2	Ga
gli1	Gaeilge (Irish Gaelic)
gag	Gagauz
gls	Gàidhlig Albanach (Scottish Gaelic)
gln	Galician (Galego)
cab	Garifuna
geo	Georgian
dum	Gonja 
esg	Greenlandic (Inuktikut)
gun	Guarani
gua	Guarayo
hna	Guen (Mina)
gjr	Gujarati
hat	Haitian Creole (Kreyol)
hat1	Haitian Creole (popular)
hni	Hani
kkn	Hankuko (Korean)
gej	Hausa/Haoussa
hwi	Hawaiian
hbr	Hebrew
hil	Hiligaynon
